batter,runs_scored,balls_faced,strike_rate
SPD Smith,2461,1931,127.44691869497669
S Sohal,368,289,127.33564013840831
Azmatullah Omarzai,42,33,127.27272727272727
LMP Simmons,1079,848,127.24056603773586
MW Short,117,92,127.17391304347827
CL White,962,757,127.08058124174373
S Dhawan,6736,5304,126.99849170437405
MC Henriques,996,785,126.87898089171973
Gulbadin Naib,19,15,126.66666666666666
AC Voges,181,143,126.57342657342659
P Negi,364,288,126.38888888888889
DH Yagnik,168,133,126.3157894736842
MV Boucher,387,307,126.05863192182409
AD Mathews,722,573,126.00349040139616
BJ Hodge,1399,1112,125.80935251798562
KS Williamson,2128,1692,125.76832151300236
AD Hales,147,117,125.64102564102564
AS Yadav,49,39,125.64102564102564
C Munro,177,141,125.53191489361701
SA Asnodkar,423,337,125.51928783382789
Sohail Tanvir,35,28,125.0
A Choudhary,25,20,125.0
Arshad Khan (2),5,4,125.0
AP Tare,339,272,124.63235294117648
MN van Wyk,163,131,124.42748091603053
JP Duminy,2026,1631,124.21827099938687
Shakib Al Hasan,788,635,124.09448818897637
JO Holder,259,209,123.92344497607655
LA Pomersbach,301,243,123.86831275720165
G Gambhir,4197,3394,123.65939893930467
DPMD Jayawardene,1806,1462,123.52941176470588
AM Rahane,4640,3757,123.50279478307161
Sachin Baby,142,115,123.47826086956522
LRPL Taylor,1010,818,123.4718826405868
MG Bracewell,58,47,123.40425531914893
D Padikkal,1555,1262,123.21711568938194
Mandeep Singh,1705,1385,123.10469314079423
AB McDonald,123,100,123.0
DJ Hussey,1316,1070,122.99065420560748
KS Bharat,198,161,122.98136645962734
KM Jadhav,1191,969,122.91021671826626
MEK Hussey,1976,1610,122.73291925465838
HV Patel,249,203,122.66009852216749
Harpreet Brar,233,190,122.63157894736842
EJG Morgan,1406,1147,122.58064516129032
DJG Sammy,295,241,122.40663900414938
SA Abbott,22,18,122.22222222222223
DNT Zoysa,11,9,122.22222222222223
Shahbaz Ahmed,535,438,122.14611872146119
GJ Bailey,660,541,121.99630314232901
M Vijay,2619,2148,121.92737430167597
MJ McClenaghan,84,69,121.73913043478262
HC Brook,186,153,121.56862745098039
S Anirudha,136,112,121.42857142857142
AJ Tye,91,75,121.33333333333334
IK Pathan,1149,947,121.33051742344246
KC Sangakkara,1680,1385,121.29963898916967
LA Carseldine,80,66,121.21212121212122
Gurkeerat Singh,511,422,121.09004739336493
MK Pandey,3840,3174,120.98298676748583
PA Patel,2841,2350,120.89361702127658
Anmolpreet Singh,139,115,120.8695652173913
SS Tiwary,1489,1235,120.5668016194332
PC Valthaty,499,414,120.53140096618358
R Bhatia,342,284,120.4225352112676
GD Phillips,65,54,120.37037037037037
SR Tendulkar,2331,1941,120.09273570324575
Joginder Sharma,36,30,120.0
Saurav Chauhan,18,15,120.0
DM Bravo,6,5,120.0
SS Prabhudessai,126,105,120.0
Salman Butt,192,160,120.0
KV Sharma,351,294,119.38775510204083
T Taibu,31,26,119.23076923076923
Anuj Rawat,318,267,119.10112359550563
